DateTime,Min_Consumption,Avg_Consumption,Max_Consumption
2024-05-08,21334.75,22011.1,23634.3
2024-05-09,85409.2,86858.5,90632.3
2024-05-10,76519.65,78020.3,81893.65
2024-05-11,15449.3,16257.95,19288.45
2024-05-12,14703.75,15465.85,18306.6
2024-05-13,80089.0,81449.6,85169.2
2024-05-14,74889.75,76549.55,80483.25
2024-05-15,77839.1,79341.2,83231.55
2024-05-16,81575.8,83266.9,87233.35
2024-05-17,73831.6,75512.95,79598.25
2024-05-18,60274.15,61669.2,65135.05
2024-05-19,15328.0,16471.25,20116.45
2024-05-20,81495.25,83497.5,87893.65
2024-05-21,76720.2,78593.55,82938.1
2024-05-22,15990.55,17124.05,20559.55
2024-05-23,82986.45,84663.75,88959.0
2024-05-24,79637.6,81287.25,85379.4
2024-05-25,15772.65,16862.2,20281.7
2024-05-26,15186.05,16285.55,19846.1
2024-05-27,81862.25,83714.75,88017.9
2024-05-28,83020.75,84783.75,89018.15
2024-05-29,75853.75,77823.6,82192.3
2024-05-30,78378.35,80469.1,84983.7
2024-05-31,80932.15,82901.85,87412.75
2024-06-01,15314.95,16351.9,19836.15
2024-06-02,15124.8,16014.55,18971.5
2024-06-03,16137.05,17141.55,20386.05
2024-06-04,79873.9,81709.2,86219.75
2024-06-05,80305.7,82247.75,86718.4
2024-06-06,79069.55,81012.2,85498.8
2024-06-07,55462.0,56518.95,58977.35
