DateTime,Min_Consumption,Avg_Consumption,Max_Consumption
2024-05-08 02:00:00,1653.5,1668.1,1698.85
2024-05-08 03:00:00,7539.15,7626.9,7827.8
2024-05-08 04:00:00,7012.75,7188.55,7426.9
2024-05-08 05:00:00,732.85,813.7,1029.35
2024-05-08 06:00:00,632.95,691.25,863.3
2024-05-08 07:00:00,703.6,760.75,927.5
2024-05-08 08:00:00,716.45,780.05,967.05
2024-05-08 09:00:00,747.8,795.95,933.35
2024-05-08 10:00:00,803.15,843.45,972.6
2024-05-08 11:00:00,792.55,842.4,987.6
2024-05-08 12:00:00,0.0,0.0,0.0
2024-05-08 13:00:00,0.0,0.0,0.0
2024-05-08 14:00:00,0.0,0.0,0.0
2024-05-08 15:00:00,0.0,0.0,0.0
2024-05-08 16:00:00,0.0,0.0,0.0
2024-05-08 17:00:00,0.0,0.0,0.0
2024-05-08 18:00:00,0.0,0.0,0.0
2024-05-08 19:00:00,0.0,0.0,0.0
2024-05-08 20:00:00,0.0,0.0,0.0
2024-05-08 21:00:00,0.0,0.0,0.0
2024-05-08 22:00:00,0.0,0.0,0.0
2024-05-08 23:00:00,0.0,0.0,0.0
2024-05-09 00:00:00,7397.85,7491.2,7726.45
2024-05-09 01:00:00,7222.6,7318.9,7547.95
2024-05-09 02:00:00,7285.4,7365.05,7557.65
2024-05-09 03:00:00,7500.2,7588.45,7803.2
2024-05-09 04:00:00,6760.7,6848.55,7051.2
2024-05-09 05:00:00,5584.4,5662.4,5851.55
2024-05-09 06:00:00,1782.8,1857.05,2065.75
2024-05-09 07:00:00,680.45,731.55,893.55
2024-05-09 08:00:00,667.3,718.3,892.75
2024-05-09 09:00:00,770.4,830.95,1016.8
2024-05-09 10:00:00,786.0,832.2,980.65
2024-05-09 11:00:00,759.85,799.2,941.1
2024-05-09 12:00:00,754.85,785.3,871.45
2024-05-09 13:00:00,781.3,805.75,884.5
2024-05-09 14:00:00,690.65,713.5,770.5
2024-05-09 15:00:00,740.05,753.5,790.5
2024-05-09 16:00:00,681.5,700.85,744.1
2024-05-09 17:00:00,671.2,689.1,746.55
2024-05-09 18:00:00,638.75,664.0,745.4
