min,avg,max
4862.85,4896.6,4981.35
22218.3,22431.9,23001.9
20792.55,21277.5,21958.95
1724.55,1915.05,2520.75
1501.05,1646.4,2147.85
1687.35,1826.55,2296.65
1674.9,1839.3,2379.3
1771.95,1877.55,2255.55
1907.7,2004.75,2369.7
1881.6,1996.5,2388.45
1763.4,1830.75,2035.95
1762.05,1821.0,2013.75
1569.45,1613.1,1739.55
1607.55,1633.05,1696.2
1524.75,1560.6,1639.35
1431.3,1467.45,1584.15
1410.75,1462.95,1659.75
11628.0,11927.85,12672.9
20463.3,20709.6,21377.25
21775.05,21952.2,22416.15
21934.05,22160.7,22770.3
21611.55,21791.85,22303.05
21750.9,21983.85,22648.5
21200.25,21453.9,22112.4
21460.5,21667.35,22227.15
22076.25,22293.0,22890.6
19881.45,20108.55,20692.8
16410.15,16604.85,17149.05
4989.6,5180.4,5778.0
1593.9,1722.6,2184.15
1573.8,1700.7,2194.2
1779.9,1931.85,2461.2
1914.6,2032.05,2450.1
1815.45,1907.1,2296.95
1705.95,1792.05,2115.45
1697.55,1770.9,2031.15
1617.45,1672.2,1834.35
1549.35,1578.45,1661.55
1430.1,1463.25,1559.85
1397.4,1433.85,1531.35
1407.9,1464.45,1678.35
10241.85,10601.85,11407.95
19444.5,19727.1,20450.1
21003.45,21197.55,21769.65
22188.0,22410.3,22974.3
21999.6,22248.75,22918.05
20650.35,20919.9,21605.55
19811.85,20030.4,20621.7
19997.4,20235.3,20883.9
19575.75,19746.15,20286.0
18061.2,18291.45,18915.9
4939.35,5317.35,5926.05
1459.65,1604.25,2127.15
1510.5,1651.05,2129.4
1551.6,1675.2,2093.25
1617.45,1729.35,2189.25
1747.65,1830.75,2164.8
1715.7,1802.7,2193.6
1733.55,1814.25,2103.45
1680.75,1725.0,1874.1
1738.5,1771.65,1889.4
1578.6,1608.3,1730.4
1570.35,1603.8,1702.95
1528.5,1553.7,1669.2
1452.6,1497.45,1675.2
1434.6,1517.55,1876.8
1337.55,1436.55,1829.4
1302.6,1384.2,1730.55
1263.45,1378.35,1826.85
1221.45,1301.55,1639.65
1252.65,1343.85,1717.95
1319.85,1457.25,1944.3
1489.8,1644.15,2243.85
1369.95,1468.2,1891.2
1291.65,1373.1,1709.7
1326.9,1395.45,1735.65
1294.05,1426.8,1940.7
1422.0,1520.55,1926.6
1394.25,1523.1,2020.05
1441.35,1570.65,2043.75
1561.5,1701.3,2210.4
1667.7,1772.1,2221.05
1689.15,1761.75,2047.8
1523.4,1570.2,1766.7
1552.8,1581.3,1683.75
1532.4,1559.4,1661.25
1449.6,1472.1,1547.85
1377.9,1400.25,1480.5
1375.05,1403.4,1485.15
1277.85,1350.15,1675.65
1248.0,1302.75,1545.75
1207.95,1268.85,1556.55
1232.1,1312.2,1670.1
1222.2,1321.35,1719.6
1357.05,1464.6,1867.65
1383.6,1489.95,1922.85
1282.05,1421.7,1954.5
1258.05,1369.35,1819.8
1255.05,1362.15,1795.35
1193.55,1302.3,1729.8
1310.55,1420.65,1842.3
1428.0,1551.75,1999.95
1525.8,1658.85,2125.5
1547.1,1685.25,2225.4
1474.8,1600.5,1983.45
1412.55,1498.35,1854.15
1381.8,1443.45,1686.9
1414.05,1462.5,1643.25
1548.3,1576.2,1659.0
1530.75,1557.6,1650.75
1595.7,1618.65,1714.8
1596.75,1622.25,1713.6
1584.9,1629.0,1813.05
14902.2,15240.9,16096.95
20377.8,20607.6,21254.85
21088.95,21265.65,21742.2
21810.9,22027.05,22649.1
21879.9,22083.9,22606.65
21355.65,21573.0,22182.0
20299.65,20537.4,21125.55
21970.8,22182.6,22752.6
22333.95,22531.95,23090.55
20806.8,21084.0,21666.0
1692.9,1924.05,2629.35
1437.6,1540.05,1972.35
1584.0,1712.4,2207.7
1565.1,1685.55,2159.55
1734.0,1857.3,2331.15
1697.55,1807.8,2263.65
1559.7,1660.8,2053.2
1519.95,1627.05,2024.1
1370.25,1417.2,1557.75
1556.25,1596.45,1741.95
1542.3,1572.75,1678.5
1533.3,1561.5,1665.9
1543.2,1566.15,1661.25
1533.6,1585.95,1794.75
10244.25,10564.95,11297.4
20448.75,20686.95,21307.5
21604.35,21796.5,22342.65
21318.15,21596.4,22247.4
19935.9,20229.6,20827.8
19482.75,19814.7,20475.6
19307.7,19659.0,20328.6
19675.65,19986.15,20598.45
20116.95,20436.15,21013.05
19451.4,19775.1,20431.2
2701.65,3050.25,3800.7
1339.05,1484.25,2002.05
1500.6,1669.65,2240.4
1582.5,1758.45,2317.8
1744.95,1902.9,2433.75
1713.0,1820.25,2220.9
1577.55,1690.35,2098.95
1546.65,1636.05,1972.95
1592.7,1648.65,1832.7
1725.3,1766.25,1924.95
1702.05,1739.25,1857.0
1533.6,1567.35,1686.9
1560.9,1591.05,1676.4
1534.5,1592.7,1817.85
8831.1,9188.4,9903.45
22208.25,22453.8,23108.7
22030.65,22210.2,22750.95
21836.25,22113.6,22812.15
21560.55,21746.4,22298.85
21639.6,21874.05,22497.45
21689.4,21975.6,22668.3
21898.5,22116.6,22713.15
22023.6,22232.1,22790.4
16462.8,16843.5,17601.6
1804.5,2015.3999999999999,2634.3
1785.75,1918.8,2400.15
1878.45,2019.45,2510.85
1839.0,2023.65,2625.9
1748.25,1911.15,2448.6
1720.2,1835.1,2224.8
1583.85,1683.45,2056.95
1549.5,1637.1,1950.15
1485.45,1532.85,1727.85
1369.35,1402.65,1528.2
1392.75,1426.8,1529.1
1384.5,1413.0,1503.75
1399.05,1423.35,1513.95
1385.7,1444.05,1666.35
11173.05,11491.65,12443.25
22615.2,22839.0,23457.3
22606.05,22789.35,23285.25
22436.55,22750.8,23421.6
22281.9,22505.25,23092.65
22115.55,22396.35,23084.85
22026.0,22355.7,23035.8
22467.0,22710.45,23363.1
22242.9,22531.5,23207.4
20071.8,20721.3,21469.05
1932.9,2165.1,2818.8
1755.9,1922.85,2446.8
1739.55,1861.8,2247.15
1783.95,1937.25,2424.0
2006.1,2153.1,2665.95
1767.9,1897.65,2386.95
1599.0,1704.9,2090.55
1540.95,1650.3,2034.45
1465.95,1542.0,1842.3
1358.85,1400.1,1540.95
1386.3,1421.7,1540.5
1384.65,1411.65,1504.35
1392.6,1423.95,1510.2
1389.75,1444.2,1663.8
10051.35,10366.2,11196.0
19555.95,19803.75,20460.75
19607.7,19772.4,20228.7
20720.25,20958.9,21553.8
21074.55,21287.7,21879.45
18693.6,18955.95,19592.7
18782.25,19022.25,19636.8
20308.65,20587.8,21238.5
21132.0,21382.8,22043.1
16404.45,16796.85,17661.45
2056.8,2269.65,2857.35
1806.3,1967.7,2507.7
1960.05,2133.3,2691.15
1818.45,1983.3,2541.3
1729.35,1889.85,2383.65
1620.15,1781.4,2321.1
1701.3,1837.5,2385.45
1604.25,1689.9,2006.25
1526.55,1600.05,1880.7
1490.85,1543.65,1737.3
1510.05,1549.65,1663.05
1520.85,1565.4,1698.15
1521.3,1560.3,1671.0
1528.35,1578.0,1731.3
9575.4,9978.45,10667.85
14913.0,15105.15,15688.8
15420.9,15564.0,16014.3
15861.3,15995.4,16376.7
15852.75,16003.35,16464.9
16048.2,16209.9,16636.5
15940.65,16186.35,16849.2
17002.5,17209.65,17835.9
17247.3,17403.45,17815.05
8929.5,9340.2,9952.65
1349.4,1470.15,1873.2
1625.25,1729.35,2125.95
1746.3,1909.95,2415.0
1839.75,1974.75,2497.05
1857.0,2006.55,2536.2
1893.6,2048.1,2582.7
1798.05,1931.1000000000001,2431.8
1536.0,1651.35,2134.65
1525.5,1607.7,1950.75
1472.7,1515.6,1696.35
1473.3,1516.05,1670.1
1514.85,1535.55,1602.45
1529.1,1563.75,1682.4
1566.3,1622.55,1819.65
1358.25,1452.0,1832.25
1383.3,1465.2,1840.35
1287.0,1364.25,1687.2
1248.15,1358.55,1752.0
1277.25,1392.3,1854.0
1229.4,1430.55,2055.75
1311.0,1469.85,2020.05
1416.9,1608.0,2254.2
1335.75,1524.75,2177.4
