index,DateTime,min,max,avg
0,2024-05-08 14:47:20,373.5,384.6,375.6
1,2024-05-08 15:47:20,371.7,384.45,375.0
2,2024-05-08 16:47:20,345.3,358.8,349.35
3,2024-05-08 17:47:20,24.45,39.6,30.45
4,2024-05-08 18:47:20,22.95,27.6,23.85
5,2024-05-08 19:47:20,29.1,43.95,35.25
6,2024-05-08 20:47:20,27.3,28.65,27.9
7,2024-05-08 21:47:20,31.65,45.0,34.65
8,2024-05-08 22:47:20,32.1,45.3,36.3
9,2024-05-08 23:47:20,30.75,43.2,34.35
10,2024-05-09 00:47:20,28.2,29.25,28.65
11,2024-05-09 01:47:20,28.95,30.45,29.1
12,2024-05-09 02:47:20,26.1,26.85,26.25
13,2024-05-09 03:47:20,25.95,27.0,26.25
14,2024-05-09 04:47:20,28.05,30.75,28.65
15,2024-05-09 05:47:20,23.7,24.9,24.15
16,2024-05-09 06:47:20,22.65,23.25,22.8
17,2024-05-09 07:47:20,318.9,339.9,325.5
18,2024-05-09 08:47:20,355.05,372.75,359.7
19,2024-05-09 09:47:20,366.75,369.45,367.8
20,2024-05-09 10:47:20,365.55,380.4,369.75
21,2024-05-09 11:47:20,356.25,360.0,357.6
22,2024-05-09 12:47:20,368.55,379.8,371.1
23,2024-05-09 13:47:20,349.35,361.65,353.85
24,2024-05-09 14:47:20,364.65,379.2,369.75
25,2024-05-09 15:47:20,368.4,389.7,373.2
26,2024-05-09 16:47:20,295.8,307.8,297.45
27,2024-05-09 17:47:20,262.05,273.75,265.05
28,2024-05-09 18:47:20,24.9,27.15,25.35
29,2024-05-09 19:47:20,25.95,31.05,26.4
30,2024-05-09 20:47:20,26.25,46.05,30.15
31,2024-05-09 21:47:20,32.55,43.95,34.2
32,2024-05-09 22:47:20,33.15,34.2,33.3
33,2024-05-09 23:47:20,27.9,31.8,28.5
34,2024-05-10 00:47:20,31.35,34.8,31.8
35,2024-05-10 01:47:20,27.45,30.45,27.75
36,2024-05-10 02:47:20,24.75,27.45,26.55
37,2024-05-10 03:47:20,25.5,25.95,25.5
38,2024-05-10 04:47:20,21.45,22.65,21.75
39,2024-05-10 05:47:20,22.95,26.1,23.25
40,2024-05-10 06:47:20,23.4,24.75,24.15
41,2024-05-10 07:47:20,325.35,340.8,329.55
42,2024-05-10 08:47:20,340.05,357.45,344.85
43,2024-05-10 09:47:20,356.7,366.3,359.4
44,2024-05-10 10:47:20,370.65,379.5,372.3
45,2024-05-10 11:47:20,365.7,379.95,370.05
46,2024-05-10 12:47:20,339.15,359.55,344.1
47,2024-05-10 13:47:20,328.2,338.55,330.15
48,2024-05-10 14:47:20,334.2,352.5,338.4
49,2024-05-10 15:47:20,324.9,334.8,327.3
50,2024-05-10 16:47:20,283.65,296.25,285.75
51,2024-05-10 17:47:20,23.1,39.75,25.95
52,2024-05-10 18:47:20,24.3,34.95,26.25
53,2024-05-10 19:47:20,24.3,38.55,27.75
54,2024-05-10 20:47:20,26.55,27.9,27.0
55,2024-05-10 21:47:20,25.95,39.3,27.45
56,2024-05-10 22:47:20,28.95,42.6,32.25
57,2024-05-10 23:47:20,29.1,42.45,31.5
58,2024-05-11 00:47:20,28.95,42.15,31.65
59,2024-05-11 01:47:20,28.05,32.1,28.35
60,2024-05-11 02:47:20,30.75,31.95,31.05
61,2024-05-11 03:47:20,25.65,26.7,25.95
62,2024-05-11 04:47:20,25.65,27.6,26.4
63,2024-05-11 05:47:20,24.9,25.8,25.35
64,2024-05-11 06:47:20,25.8,39.75,28.8
65,2024-05-11 07:47:20,24.0,34.35,26.1
66,2024-05-11 08:47:20,21.3,26.7,22.35
67,2024-05-11 09:47:20,21.6,24.3,22.2
68,2024-05-11 10:47:20,19.95,21.9,20.7
69,2024-05-11 11:47:20,20.4,27.75,21.6
70,2024-05-11 12:47:20,20.85,24.9,21.15
71,2024-05-11 13:47:20,23.4,31.35,24.15
72,2024-05-11 14:47:20,25.8,37.05,27.9
73,2024-05-11 15:47:20,21.3,27.6,21.9
74,2024-05-11 16:47:20,21.9,36.0,24.6
75,2024-05-11 17:47:20,22.2,41.4,24.75
76,2024-05-11 18:47:20,22.8,35.85,24.75
77,2024-05-11 19:47:20,23.4,25.8,23.85
78,2024-05-11 20:47:20,22.05,35.7,24.6
79,2024-05-11 21:47:20,23.1,35.25,24.3
80,2024-05-11 22:47:20,25.05,36.45,27.6
81,2024-05-11 23:47:20,28.8,29.4,28.95
82,2024-05-12 00:47:20,29.25,42.6,31.95
83,2024-05-12 01:47:20,26.1,26.55,26.25
84,2024-05-12 02:47:20,26.4,28.05,26.7
85,2024-05-12 03:47:20,23.25,23.85,23.4
86,2024-05-12 04:47:20,23.25,25.2,23.4
87,2024-05-12 05:47:20,21.9,24.9,22.2
88,2024-05-12 06:47:20,22.5,36.0,24.45
89,2024-05-12 07:47:20,22.2,26.1,22.5
90,2024-05-12 08:47:20,19.95,23.25,20.4
91,2024-05-12 09:47:20,20.7,24.9,20.85
92,2024-05-12 10:47:20,21.3,24.6,21.75
93,2024-05-12 11:47:20,19.95,21.45,20.1
94,2024-05-12 12:47:20,22.35,33.6,25.05
95,2024-05-12 13:47:20,22.8,25.5,23.7
96,2024-05-12 14:47:20,20.7,27.9,21.75
97,2024-05-12 15:47:20,20.85,23.4,21.45
98,2024-05-12 16:47:20,20.7,33.9,23.25
99,2024-05-12 17:47:20,21.0,24.0,21.3
100,2024-05-12 18:47:20,21.45,24.15,22.05
101,2024-05-12 19:47:20,23.7,26.7,23.85
102,2024-05-12 20:47:20,27.0,30.6,27.3
103,2024-05-12 21:47:20,26.4,47.25,33.0
104,2024-05-12 22:47:20,23.4,36.75,26.7
105,2024-05-12 23:47:20,23.25,24.3,23.4
106,2024-05-13 00:47:20,22.95,24.15,23.1
107,2024-05-13 01:47:20,22.65,25.5,23.4
108,2024-05-13 02:47:20,25.65,26.4,25.8
109,2024-05-13 03:47:20,23.85,27.0,24.0
110,2024-05-13 04:47:20,25.95,27.0,26.1
111,2024-05-13 05:47:20,25.95,26.85,26.25
112,2024-05-13 06:47:20,25.65,33.0,26.4
113,2024-05-13 07:47:20,315.15,330.3,320.1
114,2024-05-13 08:47:20,345.3,357.0,347.7
115,2024-05-13 09:47:20,358.5,369.9,361.35
